https://uk1.internet-radio.com/proxy/spiritualradiance?mp=/stream;,Spiritual Radiance Radio,70s|SpiritualRadianceRadio|pop|rock|60s|80s|90s|
https://us3.internet-radio.com/proxy/dagilli2?mp=/stream;,Musical Venture Radio,70s|MusicalVentureRadio|60s|80s|pop|country|instrumental|
https://uk7.internet-radio.com/proxy/242radio?mp=/stream;,242 RADIO stream,70s|242RADIOstream|oldies|60s|80s|classicrock|
https://uk1.internet-radio.com/proxy/mediehuset3fmnorge?mp=/live,Mediehuset3fmnorge Radio,70s|Mediehuset3fmnorgeRadio|80s|90s|news|
https://uk2.internet-radio.com/proxy/belters?mp=/live,Belters,70s|Belters|60s|80s|90s|rock|pop|
http://64.40.99.76:8000/stream/1/,Beatles Radio,70s|60s|oldies|pop|
http://s6.voscast.com:10922/stream/1/,San Francisco's 70s Hits,70s|
http://87.118.86.46:8888/stream/1/,RadioSuperoldie HIGH,70s|oldies|60s|
http://176.31.248.14:35508/stream/1/,70s Great Hits,70s|80s|oldies|
http://airspectrum.cdnstream1.com:8024/1302_192,Motown Magic Oldies,70s|MotownMagicOldies|oldies|soul|rnb|60s|80s|
http://188.211.172.11:8001/stream/1/,L-FM 105,70s|oldies|80s|
http://159.69.76.173:3181/stream/1/,FM Gold Izegem,70s|oldies|60s|
http://163.172.77.142:8618/stream/1/,CURRAMBERA STEREO,70s|90s|merengue|
https://uk7.internet-radio.com/proxy/danceradioukchatbox?mp=/live,Box UK Radio danceradiouk,80s|BoxUKRadiodanceradiouk|pop|top40|rock|90s|
https://uk3.internet-radio.com/proxy/majesticjukebox?mp=/live,Majestic Jukebox Radio #HIGH QUALITY SOUND,80s|MajesticJukeboxRadio#HIGHQUALITYSOUND|oldies|rock|easylistening|jazz|country|soul|50s|60s|70s|
https://us2.internet-radio.com/proxy/chglobal?mp=/stream;,Classic Hits Global HD,80s|ClassicHitsGlobalHD|easylistening|90s|
https://uk4.internet-radio.com/proxy/mof?mp=/stream;,Magic Oldies Florida,80s|MagicOldiesFlorida|oldies|60s|70s|
https://uk5.internet-radio.com/proxy/top80radio?mp=/stream;,TOP 80 radio,80s|TOP80radio|rock|pop|newwave|disco|
https://us5.internet-radio.com/proxy/sunny105?mp=/stream;,Sunny 105 - Feel Good Christmas Variety,80s|Sunny105-FeelGoodChristmasVariety|christmas|70s|90s|
https://us5.internet-radio.com/proxy/wcrg?mp=/stream;,Classic Rock Global,80s|ClassicRockGlobal|classicrock|60s|70s|rock|
https://uk6.internet-radio.com/proxy/pvradio?mp=/stream;,PARTY VIBE MUSIC : ALL THE HITS ALL THE TIME,80s|PARTYVIBEMUSIC:ALLTHEHITSALLTHETIME|dance|top40|disco|pop|
https://uk2.internet-radio.com/proxy/classicrockmiami?mp=/stream;,CLASSIC ROCK MIAMI,80s|CLASSICROCKMIAMI|classicrock|60s|70s|oldies|
https://us1.internet-radio.com/proxy/crtb?mp=/stream;,Classic Rock Tampa Bay,80s|ClassicRockTampaBay|classicrock|60s|70s|oldies|
https://us1.internet-radio.com/proxy/wlcy138?mp=/stream;,WLCY Fun Radio 138,80s|WLCYFunRadio138|60s|70s|oldies|rock|
https://uk7.internet-radio.com/proxy/simonyates44?mp=/stream;,The Groove,80s|TheGroove|soul|rnb|disco|funk|
https://uk5.internet-radio.com/proxy/joyradio?mp=/stream;,Joy Radio,80s|JoyRadio|soul|jazz|funk|disco|rnb|
https://uk1.internet-radio.com/proxy/spiritualradiance?mp=/stream;,Spiritual Radiance Radio,80s|SpiritualRadianceRadio|pop|rock|60s|70s|90s|
https://uk5.internet-radio.com/proxy/80ssoundtracks?mp=/stream;,80ssoundtracks,80s|80ssoundtracks|
https://us3.internet-radio.com/proxy/dagilli2?mp=/stream;,Musical Venture Radio,80s|MusicalVentureRadio|60s|70s|pop|country|instrumental|
https://uk7.internet-radio.com/proxy/242radio?mp=/stream;,242 RADIO stream,80s|242RADIOstream|oldies|60s|70s|classicrock|
https://uk2.internet-radio.com/proxy/belters?mp=/live,Belters,80s|Belters|60s|70s|90s|rock|pop|
https://uk2.internet-radio.com/proxy/thehitmanradio?mp=/stream;,The Hit Man Radio,80s|TheHitManRadio|90s|dance|
https://uk5.internet-radio.com/proxy/zee100danceanthems?mp=/stream;,Zee100 Old Skool Dance Anthems Radio (88-95 & More),80s|Zee100OldSkoolDanceAnthemsRadio(88-95&More)|dance|90s|
https://uk7.internet-radio.com/proxy/danceradioukchatbox?mp=/live,Box UK Radio danceradiouk,90s|BoxUKRadiodanceradiouk|pop|top40|rock|80s|
https://us2.internet-radio.com/proxy/chglobal?mp=/stream;,Classic Hits Global HD,90s|ClassicHitsGlobalHD|easylistening|80s|
https://us5.internet-radio.com/proxy/sunny105?mp=/stream;,Sunny 105 - Feel Good Christmas Variety,90s|Sunny105-FeelGoodChristmasVariety|christmas|70s|80s|
https://uk6.internet-radio.com/proxy/realdanceradio?mp=/live,Real Dance Radio,90s|RealDanceRadio|dance|edm|top40|
https://uk1.internet-radio.com/proxy/spiritualradiance?mp=/stream;,Spiritual Radiance Radio,90s|SpiritualRadianceRadio|pop|rock|60s|70s|80s|
https://uk2.internet-radio.com/proxy/thehitmanradio?mp=/stream;,The Hit Man Radio,90s|TheHitManRadio|80s|dance|
https://uk1.internet-radio.com/proxy/mediehuset3fmnorge?mp=/live,Mediehuset3fmnorge Radio,90s|Mediehuset3fmnorgeRadio|70s|80s|news|
https://uk5.internet-radio.com/proxy/zee100danceanthems?mp=/stream;,Zee100 Old Skool Dance Anthems Radio (88-95 & More),90s|Zee100OldSkoolDanceAnthemsRadio(88-95&More)|dance|80s|
https://uk2.internet-radio.com/proxy/belters?mp=/live,Belters,90s|Belters|60s|70s|80s|rock|pop|
https://uk2.internet-radio.com/proxy/serenadefm?mp=/live,90s Serenade,90s|90sSerenade|indie|pop|rock|disco|
http://5.196.56.208:8130/stream/1/,Radio Crisami Romania,90s|dance|eurodance|
http://192.111.140.6:9633/stream/1/,Energy 106 Belfast,90s|dance|edm|top40|
http://145.14.14.93:8016/stream/1/,Radio Ekspres SI,90s|oldies|80s|
http://s2.cdnradio.ru/ru-mp3-128,RUSSIAN SONGS,90s|pop|dance|
http://s7.voscast.com:10458/stream/1/,GUARIDA RADIO,90s|80s|
http://38.96.148.39:8746/;,imbat,90s|80s|
http://163.172.77.142:8618/stream/1/,CURRAMBERA STEREO,90s|70s|merengue|
http://51.89.195.240:8084/stream/1/,https://90s3nergy.com,90s|
http://212.7.194.63:9064/stream/1/,Radio Onda Libera,90s|pop|dance|
http://198.50.158.92:10212/stream/1/,<<< KAZA FM >>> Pride party music russian radio 80's 90's 2000's disco pop hit,90s|80s|dance|
https://uk2.internet-radio.com/proxy/danceradiouk?mp=/stream;,Dance UK Radio danceradiouk,acid%20house|DanceUKRadiodanceradiouk|electronic|house|trance|dance|techno|
https://uk7.internet-radio.com/proxy/movedahouse?mp=/stream;,MoveDaHouse,acid%20house|MoveDaHouse|house|techno|dance|electronic|edm|
